order_amount,currency,billing_country,shipping_country,country_mismatch,customer_total_orders,customer_refund_rate,customer_dispute_rate,device_reuse_count,ip_reuse_count,order_velocity_24h,refund_reason,days_since_purchase,delivery_confirmed,item_category,is_abuse
128.38,GBP,BR,AU,1,10,0.03,0.0164,2,0,3,wrong_item,18,True,home,0
255.77,USD,US,US,0,6,0.0328,0.0887,3,0,4,other,15,True,beauty,0
63.17,AUD,BR,DE,1,12,0.0741,0.0134,3,0,0,not_as_described,17,True,sports,0
27.62,AUD,BR,DE,1,6,0.0668,0.0269,2,1,1,wrong_item,18,False,home,0
67.84,AUD,CN,CN,0,7,0.065,0.0166,3,1,0,changed_mind,10,False,electronics,0
160.39,EUR,IN,CA,1,14,0.121,0.0097,3,4,2,changed_mind,12,True,beauty,0
207.38,USD,FR,CA,1,8,0.1235,0.0379,4,0,0,changed_mind,14,True,clothing,0
20.26,GBP,FR,GB,1,5,0.0869,0.0352,0,0,1,not_as_described,10,True,electronics,0
10.04,AUD,CN,DE,1,11,0.0187,0.0329,2,1,1,not_as_described,15,True,clothing,0
16.34,CAD,DE,NG,1,8,0.0279,0.0009,1,1,1,wrong_item,9,True,sports,0
311.75,EUR,CN,BR,1,5,0.0818,0.0499,4,1,2,other,21,True,clothing,0
69.87,EUR,GB,GB,0,5,0.0541,0.001,2,1,0,changed_mind,9,True,home,0
101.59,CAD,GB,CN,1,7,0.0235,0.0148,1,0,0,changed_mind,14,True,clothing,0
439.27,CAD,FR,GB,1,13,0.0369,0.0164,1,0,2,damaged,13,True,clothing,0
60.62,GBP,DE,CN,1,9,0.1192,0.0174,2,1,1,wrong_item,14,True,home,0
215.01,USD,BR,AU,1,6,0.1291,0.0091,3,2,0,wrong_item,17,True,clothing,0
1063.75,EUR,CA,BR,1,11,0.1118,0.0544,2,2,1,not_as_described,9,True,home,0
17.59,USD,CN,GB,1,10,0.163,0.0116,3,0,2,not_as_described,18,True,clothing,0
21.37,GBP,DE,AU,1,11,0.0838,0.0143,0,2,0,wrong_item,13,False,home,0
36.4,GBP,IN,CN,1,9,0.0264,0.0017,2,2,2,changed_mind,20,True,food,0
50.2,CAD,AU,FR,1,8,0.1078,0.0349,4,1,3,changed_mind,9,True,beauty,0
32.07,CAD,DE,NG,1,6,0.0516,0.0102,3,2,0,wrong_item,10,False,sports,0
141.72,AUD,IN,AU,1,7,0.0585,0.0046,1,1,1,wrong_item,16,True,food,0
99.75,EUR,AU,US,1,5,0.0716,0.0022,3,1,2,damaged,9,True,beauty,0
14.41,USD,FR,IN,1,7,0.0301,0.0164,0,2,2,changed_mind,12,True,electronics,0
59.69,CAD,US,CA,1,7,0.0473,0.0014,3,0,0,other,13,True,electronics,0
14.23,AUD,IN,CA,1,7,0.0466,0.0033,1,0,0,not_as_described,8,False,home,0
119.46,EUR,CA,BR,1,9,0.1087,0.0238,5,0,4,not_as_described,11,True,clothing,0
110.85,CAD,DE,DE,0,5,0.0549,0.0067,5,0,1,other,12,True,home,0
6.57,CAD,NG,GB,1,14,0.0477,0.0058,2,2,1,not_as_described,14,True,electronics,0
7.39,AUD,DE,CA,1,8,0.092,0.0157,2,0,0,changed_mind,14,True,food,0
52.85,GBP,CA,NG,1,6,0.0143,0.0084,3,1,1,damaged,17,True,clothing,0
14.79,AUD,CA,CN,1,10,0.0651,0.0042,2,1,0,wrong_item,19,True,electronics,0
36.35,GBP,DE,IN,1,7,0.0707,0.0355,3,3,0,other,11,True,sports,0
42.49,EUR,NG,IN,1,12,0.0561,0.0206,2,1,3,wrong_item,12,True,beauty,0
47.61,AUD,DE,IN,1,14,0.061,0.0222,2,0,0,other,13,True,food,0
70.62,CAD,FR,CA,1,9,0.0692,0.013,2,2,1,not_as_described,15,True,sports,0
25.11,AUD,US,FR,1,8,0.1586,0.0211,2,0,0,other,10,True,electronics,0
13.56,USD,GB,AU,1,8,0.0633,0.0584,3,2,0,not_as_described,8,True,beauty,0
21.68,GBP,CN,CN,0,11,0.0249,0.0051,2,0,2,other,6,True,beauty,0
29.11,GBP,AU,GB,1,6,0.0168,0.0108,4,0,0,changed_mind,15,True,clothing,0
40.36,USD,IN,FR,1,10,0.0475,0.0137,4,0,1,wrong_item,13,True,home,0
105.99,EUR,CA,DE,1,6,0.1004,0.0216,1,0,5,not_as_described,7,True,clothing,0
14.02,CAD,GB,IN,1,8,0.0534,0.0488,3,0,0,not_as_described,21,True,beauty,0
57.32,CAD,US,AU,1,7,0.0626,0.0056,2,0,1,damaged,14,True,clothing,0
22.35,USD,IN,CN,1,7,0.0894,0.0033,1,2,0,other,22,True,electronics,0
86.85,GBP,CA,CN,1,5,0.1954,0.0252,0,1,0,damaged,16,True,sports,0
19.47,EUR,BR,US,1,14,0.0523,0.0054,5,0,0,not_as_described,11,True,food,0
228.55,CAD,BR,AU,1,12,0.1561,0.0041,1,0,3,wrong_item,22,True,sports,1
15.89,CAD,US,BR,1,9,0.1876,0.0079,2,1,1,changed_mind,8,False,clothing,0
169.41,EUR,CA,IN,1,8,0.0317,0.0001,1,1,1,wrong_item,14,True,electronics,0
271.83,AUD,BR,CA,1,5,0.1394,0.0148,1,0,3,damaged,16,True,electronics,0
105.81,EUR,FR,AU,1,2,0.0342,0.0261,2,1,2,not_as_described,8,False,food,0
23.21,CAD,NG,CN,1,8,0.1996,0.0075,3,0,0,damaged,13,True,beauty,0
60.73,USD,CA,BR,1,8,0.0069,0.0008,2,1,1,damaged,14,True,food,0
53.43,CAD,GB,DE,1,6,0.0477,0.0063,2,0,2,other,6,True,clothing,0
57.32,GBP,IN,IN,0,10,0.0288,0.0637,1,1,1,wrong_item,12,False,sports,0
132.35,GBP,US,BR,1,11,0.1252,0.0129,1,1,2,other,18,True,food,0
47.49,EUR,DE,DE,0,8,0.2049,0.0029,1,0,0,not_as_described,14,True,clothing,0
93.58,AUD,DE,NG,1,8,0.0392,0.0025,1,0,2,not_as_described,14,True,clothing,0
40.23,USD,FR,DE,1,6,0.0565,0.0002,3,1,0,damaged,18,True,food,0
311.27,EUR,DE,FR,1,8,0.067,0.0277,2,3,2,changed_mind,12,True,home,0
97.49,USD,FR,BR,1,10,0.0465,0.0023,3,2,2,damaged,16,True,beauty,0
87.95,GBP,BR,DE,1,3,0.1027,0.01,3,1,0,other,13,True,food,0
19.13,GBP,CA,IN,1,12,0.0692,0.0067,2,1,1,other,11,True,electronics,0
64.0,AUD,DE,CA,1,9,0.0364,0.0037,1,1,1,damaged,8,True,sports,0
38.71,GBP,GB,IN,1,8,0.0247,0.0067,2,0,2,wrong_item,14,True,beauty,0
77.49,AUD,AU,BR,1,12,0.102,0.0455,1,2,1,damaged,15,True,clothing,0
60.04,GBP,BR,DE,1,4,0.0162,0.0042,2,0,2,changed_mind,19,True,clothing,0
35.56,GBP,DE,BR,1,3,0.0452,0.0041,3,0,1,damaged,11,True,sports,0
53.44,USD,IN,GB,1,11,0.111,0.0438,2,0,1,wrong_item,14,True,home,0
3.71,CAD,DE,GB,1,10,0.0443,0.0059,3,2,2,damaged,23,False,home,0
405.4,USD,DE,AU,1,8,0.1356,0.0336,1,3,2,damaged,9,True,home,0
81.84,AUD,BR,NG,1,6,0.0181,0.018,2,0,2,not_as_described,16,True,electronics,0
4.4,EUR,CA,DE,1,5,0.0937,0.0014,3,1,0,changed_mind,15,True,beauty,0
85.36,CAD,CN,NG,1,9,0.0313,0.0003,1,1,1,wrong_item,15,True,beauty,0
27.64,CAD,CA,US,1,10,0.0808,0.0151,1,0,4,wrong_item,16,True,home,0
75.58,AUD,FR,BR,1,11,0.1357,0.0125,1,2,3,wrong_item,17,True,clothing,0
35.32,CAD,DE,FR,1,3,0.0066,0.0073,4,0,0,other,17,True,electronics,0
204.1,EUR,DE,BR,1,10,0.0733,0.0058,1,0,0,other,16,True,home,0
14.42,EUR,NG,FR,1,10,0.0403,0.0158,0,1,1,not_as_described,15,True,home,0
94.84,USD,CA,FR,1,6,0.0241,0.0225,4,0,0,damaged,15,False,beauty,0
144.67,EUR,IN,FR,1,9,0.0334,0.0279,1,0,3,not_as_described,7,True,beauty,0
20.88,AUD,BR,IN,1,6,0.1016,0.0541,4,0,1,damaged,12,False,beauty,0
163.82,EUR,FR,IN,1,6,0.0467,0.018,1,0,0,other,15,True,electronics,0
44.42,GBP,CN,CN,0,9,0.0172,0.0239,3,2,1,not_as_described,14,True,sports,0
115.26,GBP,CN,FR,1,9,0.1255,0.0081,2,2,1,wrong_item,16,True,electronics,0
5.87,USD,CA,NG,1,12,0.1207,0.0014,2,0,0,damaged,14,True,beauty,0
20.72,GBP,BR,GB,1,4,0.1123,0.0355,0,1,1,not_as_described,12,True,sports,0
68.7,CAD,IN,NG,1,9,0.1176,0.0082,1,2,1,not_as_described,11,True,beauty,0
30.38,CAD,AU,CA,1,8,0.2013,0.0005,1,1,3,other,16,True,home,1
42.75,EUR,US,US,0,15,0.0561,0.0233,0,0,0,wrong_item,12,True,beauty,0
66.55,EUR,BR,BR,0,8,0.0905,0.0147,2,0,2,changed_mind,11,True,sports,0
7.33,AUD,BR,CA,1,9,0.0677,0.0187,1,1,3,damaged,16,True,electronics,0
65.44,CAD,IN,CN,1,7,0.0923,0.0077,2,2,1,other,13,True,food,0
102.67,EUR,CN,AU,1,4,0.0263,0.0274,0,0,6,wrong_item,5,True,food,0
44.9,EUR,GB,CA,1,7,0.0807,0.0044,0,1,2,changed_mind,17,True,electronics,0
24.6,GBP,GB,CA,1,9,0.1366,0.0091,3,0,1,not_as_described,15,True,food,0
215.23,USD,FR,FR,0,11,0.0613,0.0472,0,0,1,wrong_item,16,True,electronics,0
95.08,CAD,DE,GB,1,7,0.1392,0.0082,1,1,2,not_as_described,12,True,electronics,0
132.9,AUD,BR,IN,1,10,0.1357,0.0404,2,2,2,damaged,9,False,food,0
281.09,AUD,FR,BR,1,5,0.0836,0.0257,2,2,1,other,8,True,electronics,0
64.8,USD,CN,US,1,4,0.0184,0.008,1,0,2,changed_mind,21,True,clothing,0
5.59,GBP,IN,DE,1,3,0.0236,0.0089,1,3,1,damaged,10,True,home,0
33.88,CAD,CN,CN,0,8,0.0963,0.0052,2,1,1,other,14,True,home,0
74.72,AUD,BR,BR,0,5,0.1229,0.0061,4,2,6,not_as_described,12,True,clothing,0
80.49,AUD,US,GB,1,14,0.0551,0.0118,1,1,1,damaged,17,False,beauty,0
43.48,AUD,CA,BR,1,7,0.0961,0.0327,4,3,2,other,11,False,electronics,0
13.75,EUR,BR,NG,1,4,0.0849,0.0085,2,2,3,damaged,11,True,home,0
64.25,AUD,FR,AU,1,8,0.0081,0.0125,1,1,0,wrong_item,11,True,beauty,0
81.75,AUD,NG,NG,0,5,0.0701,0.0312,1,1,0,changed_mind,13,False,food,0
10.8,CAD,NG,DE,1,9,0.0244,0.0018,2,4,1,other,11,True,sports,0
170.99,GBP,FR,GB,1,7,0.091,0.0023,1,1,0,not_as_described,12,True,food,0
52.53,USD,NG,AU,1,5,0.1384,0.0224,1,0,1,other,14,True,home,0
174.43,CAD,DE,US,1,10,0.0854,0.0251,2,1,2,changed_mind,9,True,clothing,0
45.65,GBP,NG,DE,1,5,0.0511,0.0108,0,0,1,damaged,14,True,home,0
251.71,AUD,US,DE,1,7,0.1224,0.0357,0,0,1,damaged,11,True,beauty,0
125.21,GBP,CN,CA,1,9,0.1653,0.0002,0,2,2,damaged,13,True,clothing,1
10.92,AUD,FR,CN,1,10,0.0108,0.0216,1,1,0,not_as_described,16,True,home,0
15.17,AUD,AU,IN,1,10,0.2836,0.0349,2,2,3,other,16,True,sports,0
26.25,AUD,US,DE,1,8,0.148,0.0412,2,2,1,not_as_described,17,True,food,0
20.58,USD,US,IN,1,8,0.1263,0.0448,2,1,0,wrong_item,19,True,electronics,0
54.73,USD,AU,US,1,9,0.0233,0.0016,3,0,1,wrong_item,14,True,clothing,0
564.79,EUR,CN,AU,1,9,0.1777,0.0509,0,2,3,damaged,9,True,home,0
173.63,CAD,GB,BR,1,8,0.0789,0.0081,3,2,2,not_as_described,15,True,home,0
77.4,EUR,US,CA,1,8,0.2328,0.0162,1,1,1,not_as_described,16,False,clothing,0
17.33,USD,CN,CN,0,11,0.1181,0.0336,0,0,0,damaged,17,True,clothing,0
32.69,AUD,FR,FR,0,9,0.0639,0.0002,2,0,2,wrong_item,9,True,food,0
26.78,GBP,GB,AU,1,6,0.101,0.0447,1,2,1,not_as_described,17,True,sports,0
30.15,AUD,CN,DE,1,7,0.0198,0.0097,4,1,4,not_as_described,9,False,home,1
63.58,USD,AU,US,1,7,0.0732,0.0061,1,1,1,not_as_described,13,True,home,0
95.47,CAD,DE,US,1,11,0.0387,0.0076,1,1,0,not_as_described,19,True,home,0
148.6,GBP,US,GB,1,7,0.0437,0.0527,2,0,2,not_as_described,12,False,clothing,0
187.43,CAD,DE,CA,1,12,0.0728,0.0238,0,1,0,wrong_item,10,True,food,0
146.12,USD,CN,GB,1,5,0.0402,0.0058,4,0,3,changed_mind,13,True,home,0
89.25,GBP,AU,CA,1,8,0.057,0.0215,1,0,1,not_as_described,14,True,beauty,0
233.19,GBP,CA,IN,1,10,0.1783,0.0311,1,1,2,wrong_item,13,True,beauty,0
277.41,AUD,FR,BR,1,7,0.0387,0.0015,1,0,1,not_as_described,20,True,clothing,0
30.11,EUR,CA,GB,1,6,0.0832,0.0167,2,1,1,other,13,True,home,0
28.23,EUR,CA,FR,1,5,0.1537,0.0168,0,2,1,not_as_described,14,True,food,0
91.28,CAD,AU,DE,1,10,0.0421,0.003,1,1,0,damaged,17,True,clothing,0
170.05,EUR,CN,US,1,9,0.0249,0.0411,1,0,2,wrong_item,9,False,beauty,1
488.94,EUR,AU,NG,1,13,0.1048,0.0353,0,1,2,damaged,14,True,home,0
40.42,USD,BR,GB,1,10,0.1312,0.011,2,0,1,other,19,True,food,0
32.16,CAD,US,GB,1,11,0.0894,0.0237,3,2,2,changed_mind,14,False,clothing,0
39.19,USD,AU,GB,1,7,0.0437,0.0104,3,1,1,changed_mind,14,True,sports,0
88.88,AUD,GB,DE,1,7,0.0516,0.0109,1,1,1,wrong_item,17,True,electronics,0
67.33,AUD,CA,NG,1,9,0.0035,0.0116,0,1,2,wrong_item,11,True,electronics,0
62.98,GBP,GB,CN,1,7,0.0106,0.0117,2,0,1,other,12,True,sports,0
25.67,GBP,FR,CN,1,9,0.0152,0.0144,2,1,1,not_as_described,16,True,electronics,0
75.41,GBP,AU,FR,1,6,0.2675,0.0354,2,3,0,not_as_described,20,True,electronics,1
101.94,AUD,IN,CN,1,10,0.0598,0.0288,5,0,2,changed_mind,11,True,electronics,0
123.09,EUR,DE,FR,1,5,0.1467,0.002,3,0,0,wrong_item,13,True,clothing,0
45.21,AUD,AU,NG,1,6,0.1079,0.0043,0,0,1,damaged,14,True,home,0
29.47,AUD,US,GB,1,10,0.1523,0.0057,2,3,1,wrong_item,16,True,electronics,0
60.01,EUR,IN,US,1,9,0.0369,0.0101,1,1,2,changed_mind,13,True,home,0
6.91,CAD,BR,CA,1,7,0.1175,0.0074,5,1,2,damaged,24,True,electronics,0
586.85,AUD,FR,CA,1,5,0.2204,0.0354,1,2,1,not_as_described,12,True,clothing,1
34.97,CAD,GB,AU,1,9,0.0086,0.0454,0,3,1,wrong_item,14,True,sports,0
1364.33,USD,GB,US,1,11,0.0144,0.0151,1,0,0,wrong_item,13,True,home,0
130.64,EUR,FR,CN,1,8,0.1836,0.0002,1,2,3,not_as_described,15,False,sports,0
47.12,CAD,NG,NG,0,9,0.0784,0.0262,1,1,4,not_as_described,11,True,electronics,0
116.22,CAD,CN,NG,1,7,0.1081,0.0564,3,1,3,other,14,True,home,0
20.82,GBP,US,AU,1,5,0.1456,0.0047,3,0,0,changed_mind,15,True,beauty,0
94.04,USD,AU,NG,1,5,0.007,0.012,3,1,1,changed_mind,20,False,electronics,0
63.46,CAD,CA,GB,1,9,0.2682,0.0367,1,1,1,damaged,10,True,food,0
214.56,AUD,NG,DE,1,11,0.0172,0.004,2,1,0,not_as_described,15,True,food,0
213.37,CAD,CN,AU,1,7,0.0279,0.0028,2,0,1,changed_mind,14,True,clothing,0
8.62,GBP,GB,CN,1,3,0.0449,0.0552,3,0,4,damaged,12,True,home,0
193.14,CAD,IN,NG,1,2,0.0732,0.0243,4,0,1,damaged,15,True,food,0
57.6,CAD,CA,IN,1,11,0.0756,0.0016,3,0,2,wrong_item,12,True,clothing,0
85.58,AUD,DE,NG,1,6,0.1152,0.0193,1,2,5,other,18,True,clothing,0
24.49,USD,US,GB,1,5,0.0939,0.0033,1,0,0,changed_mind,15,True,clothing,0
106.36,CAD,GB,AU,1,4,0.0768,0.0105,0,1,2,changed_mind,14,True,electronics,0
17.76,USD,GB,BR,1,4,0.0561,0.0019,1,1,2,not_as_described,16,True,beauty,0
66.14,AUD,FR,GB,1,6,0.0058,0.0156,5,0,0,damaged,14,True,beauty,0
90.51,GBP,BR,IN,1,5,0.0792,0.0031,0,1,1,damaged,22,True,home,0
37.0,CAD,DE,IN,1,8,0.0911,0.0047,0,3,2,changed_mind,10,True,sports,0
542.91,USD,NG,NG,0,5,0.0169,0.024,5,1,0,wrong_item,21,True,clothing,0
70.95,EUR,BR,CN,1,12,0.0491,0.0164,0,0,1,damaged,10,True,clothing,0
35.1,GBP,GB,NG,1,4,0.1954,0.0406,1,0,4,wrong_item,26,True,sports,0
5.78,USD,CA,CN,1,7,0.1387,0.0133,1,1,1,changed_mind,9,True,beauty,0
102.28,USD,GB,US,1,15,0.0619,0.0352,3,1,1,changed_mind,11,True,clothing,0
135.09,AUD,IN,NG,1,9,0.1042,0.0413,2,0,3,wrong_item,14,True,home,0
12.21,CAD,DE,CN,1,6,0.0569,0.0137,1,0,0,not_as_described,16,True,home,0
114.77,CAD,AU,AU,0,8,0.0541,0.0079,2,0,2,other,17,True,home,0
9.47,CAD,FR,GB,1,10,0.0351,0.016,2,0,1,not_as_described,20,True,electronics,0
51.16,AUD,BR,US,1,12,0.0548,0.0019,4,1,3,not_as_described,14,True,home,0
24.09,GBP,BR,NG,1,5,0.0718,0.0385,2,1,1,changed_mind,14,True,electronics,0
390.31,GBP,AU,CN,1,8,0.0436,0.02,3,0,1,changed_mind,10,True,beauty,0
156.1,EUR,DE,BR,1,9,0.3192,0.0008,1,1,3,other,10,True,beauty,0
41.71,CAD,AU,AU,0,9,0.1178,0.0229,2,3,0,changed_mind,15,True,beauty,0
7.47,USD,FR,GB,1,9,0.0954,0.0285,0,1,2,not_as_described,14,True,clothing,0
170.98,USD,FR,AU,1,8,0.1007,0.0082,2,1,1,other,13,False,home,0
44.72,USD,IN,AU,1,10,0.0315,0.015,3,0,2,not_as_described,13,True,food,0
15.66,CAD,DE,BR,1,9,0.0824,0.0089,2,2,0,other,14,True,food,0
179.98,USD,AU,GB,1,5,0.0172,0.0296,1,3,1,not_as_described,20,True,food,0
12.54,CAD,US,NG,1,8,0.0264,0.02,0,3,3,not_as_described,12,True,home,1
42.42,GBP,IN,US,1,6,0.2712,0.0027,3,0,1,changed_mind,13,False,beauty,0
44.31,AUD,IN,AU,1,4,0.1689,0.0017,1,0,1,changed_mind,8,True,beauty,0
13.77,AUD,FR,US,1,9,0.0099,0.015,3,4,1,not_as_described,10,True,home,0
27.53,CAD,CA,BR,1,5,0.1308,0.0104,5,0,2,damaged,16,True,beauty,0
92.93,EUR,CN,US,1,2,0.043,0.0087,2,2,0,not_as_described,16,True,beauty,0
170.92,GBP,NG,CA,1,8,0.1462,0.0309,1,0,2,wrong_item,13,True,beauty,0
202.93,AUD,IN,DE,1,10,0.0057,0.0013,1,2,1,other,19,True,beauty,0
206.32,CAD,GB,FR,1,7,0.012,0.0211,3,2,1,damaged,16,True,home,0
294.35,USD,BR,BR,0,10,0.2076,0.0152,1,1,1,damaged,11,True,home,0
58.18,EUR,BR,GB,1,5,0.0244,0.0092,1,1,3,damaged,12,True,sports,0
17.64,AUD,GB,CA,1,8,0.1052,0.0003,0,0,3,other,10,False,electronics,0
77.8,AUD,CA,GB,1,11,0.0201,0.0004,2,1,3,other,18,True,home,0
65.28,AUD,US,BR,1,18,0.0484,0.0401,1,0,1,not_as_described,12,True,food,0
132.08,EUR,GB,FR,1,10,0.0398,0.0201,1,1,0,wrong_item,18,False,food,0
40.29,USD,GB,CA,1,6,0.0905,0.0382,4,1,1,other,12,True,sports,0
28.29,USD,AU,BR,1,10,0.019,0.0072,1,0,2,not_as_described,12,True,food,0
29.48,USD,CN,GB,1,7,0.0361,0.02,1,1,3,changed_mind,15,True,home,0
27.66,CAD,US,CA,1,10,0.0569,0.0017,1,1,0,not_as_described,20,True,clothing,0
47.89,USD,FR,DE,1,10,0.2683,0.0003,3,0,0,not_as_described,15,True,home,0
16.64,AUD,GB,DE,1,5,0.1395,0.0087,2,0,1,not_as_described,9,False,beauty,0
110.69,GBP,CA,NG,1,10,0.1221,0.013,3,1,0,damaged,10,False,home,1
34.09,GBP,NG,FR,1,8,0.0348,0.003,2,0,1,not_as_described,21,True,food,0
106.43,AUD,CN,CN,0,5,0.0974,0.0063,0,1,1,changed_mind,17,True,sports,0
65.22,AUD,US,CA,1,10,0.1104,0.0136,1,1,1,changed_mind,14,True,food,0
8.82,EUR,DE,GB,1,7,0.1967,0.0048,3,0,0,other,14,True,food,0
20.73,GBP,DE,CN,1,6,0.1432,0.0475,0,0,0,wrong_item,20,True,beauty,0
225.97,USD,GB,GB,0,6,0.1425,0.0014,2,2,2,damaged,16,True,clothing,0
108.54,USD,CA,CN,1,11,0.0627,0.0266,2,1,0,not_as_described,16,False,food,1
75.24,USD,CN,BR,1,12,0.1448,0.019,2,3,2,not_as_described,13,False,electronics,0
27.48,AUD,IN,BR,1,7,0.0315,0.0018,1,0,0,wrong_item,15,True,home,0
18.04,AUD,CA,FR,1,7,0.3484,0.0203,2,4,1,wrong_item,19,False,sports,0
70.81,CAD,DE,CA,1,11,0.0995,0.0116,3,2,2,changed_mind,19,True,beauty,0
46.77,GBP,AU,FR,1,9,0.0559,0.0499,0,0,0,wrong_item,14,True,home,0
