order_amount,currency,billing_country,shipping_country,country_mismatch,customer_total_orders,customer_refund_rate,customer_dispute_rate,device_reuse_count,ip_reuse_count,order_velocity_24h,is_fraud
34.82,USD,CN,NG,1,15,0.0123,0.0484,1,2,1,0
45.09,EUR,FR,US,1,2,0.0377,0.0095,0,2,2,0
35.51,CAD,DE,US,1,9,0.1075,0.0078,3,1,1,0
13.45,CAD,CN,BR,1,9,0.0819,0.0009,5,2,2,0
28.44,EUR,DE,AU,1,12,0.041,0.0215,2,1,1,0
37.27,AUD,US,DE,1,9,0.0999,0.0853,1,1,1,0
58.78,AUD,FR,IN,1,5,0.1093,0.0107,3,2,4,0
95.48,CAD,BR,CA,1,11,0.1191,0.0151,1,1,2,1
43.18,CAD,GB,GB,0,8,0.0614,0.0076,1,1,0,0
42.43,AUD,FR,DE,1,13,0.0695,0.0079,0,1,0,0
9.77,CAD,GB,NG,1,8,0.0118,0.0405,2,1,2,0
93.67,GBP,IN,BR,1,8,0.0167,0.0331,1,0,1,0
27.22,EUR,FR,GB,1,9,0.0047,0.0122,1,0,1,0
115.25,EUR,DE,AU,1,4,0.1256,0.0095,3,0,3,0
203.66,AUD,CA,NG,1,6,0.0801,0.0493,4,2,1,0
45.24,EUR,AU,CN,1,9,0.1953,0.0244,3,3,1,0
19.62,CAD,IN,BR,1,10,0.1128,0.009,0,0,1,0
53.69,GBP,CN,GB,1,5,0.1805,0.0069,1,1,2,0
77.38,EUR,FR,CA,1,10,0.1637,0.0165,0,1,5,0
39.82,GBP,GB,CA,1,16,0.11,0.0047,3,1,1,0
31.06,USD,NG,GB,1,5,0.0099,0.0023,3,1,2,0
95.92,CAD,IN,GB,1,7,0.0901,0.0339,2,0,0,0
89.8,USD,BR,DE,1,12,0.0574,0.0091,5,1,0,0
38.62,USD,US,AU,1,3,0.0722,0.0025,0,3,1,0
10.44,EUR,DE,DE,0,5,0.0389,0.0373,1,1,1,0
86.17,GBP,BR,FR,1,6,0.0694,0.0461,4,1,1,0
25.35,EUR,NG,CA,1,9,0.0279,0.0123,1,1,2,0
67.65,AUD,FR,GB,1,7,0.1757,0.0271,3,0,1,0
63.51,AUD,NG,CN,1,7,0.1141,0.0025,1,1,3,0
8.26,EUR,NG,AU,1,10,0.1133,0.0013,2,1,3,0
59.21,AUD,DE,CA,1,7,0.0382,0.0052,1,1,2,0
91.33,USD,NG,NG,0,7,0.0815,0.0191,1,4,3,0
103.25,USD,CA,NG,1,10,0.0567,0.0036,2,1,3,0
61.4,EUR,CA,CN,1,4,0.1059,0.0182,0,1,0,0
7.56,AUD,IN,GB,1,9,0.2067,0.0102,2,0,0,0
195.8,GBP,IN,IN,0,11,0.1062,0.0056,0,0,2,0
82.35,CAD,GB,CN,1,3,0.0282,0.0092,6,0,4,1
16.39,CAD,NG,NG,0,10,0.0239,0.0184,5,0,2,0
24.83,GBP,GB,CA,1,4,0.0624,0.0116,1,3,1,0
68.8,AUD,NG,NG,0,8,0.0661,0.0081,3,0,3,0
107.75,AUD,US,FR,1,6,0.0772,0.0205,5,1,0,0
33.52,GBP,BR,FR,1,17,0.0405,0.0394,5,0,1,0
124.65,CAD,BR,AU,1,6,0.028,0.0312,2,2,3,0
9.09,CAD,BR,BR,0,11,0.0833,0.0175,3,1,2,0
19.25,GBP,IN,GB,1,8,0.0927,0.0037,2,0,3,0
6.93,USD,FR,AU,1,12,0.1202,0.0648,1,0,1,0
22.26,EUR,BR,NG,1,6,0.1822,0.0099,1,0,3,0
246.68,AUD,CA,AU,1,6,0.0372,0.0005,1,2,2,0
427.44,EUR,BR,CA,1,10,0.0382,0.0061,2,0,0,0
69.03,CAD,AU,US,1,5,0.0192,0.0033,0,2,1,0
28.83,AUD,FR,AU,1,7,0.0234,0.0076,3,3,2,0
43.74,CAD,AU,BR,1,11,0.1151,0.0052,4,0,4,0
87.65,EUR,AU,AU,0,8,0.0325,0.0391,2,1,3,0
11.44,AUD,US,CN,1,7,0.0895,0.012,2,0,4,0
30.8,USD,GB,IN,1,8,0.1602,0.0212,1,0,1,0
229.27,CAD,CA,AU,1,3,0.0799,0.0027,4,0,0,0
19.19,EUR,GB,US,1,8,0.0542,0.005,2,0,4,0
25.82,CAD,FR,AU,1,5,0.1158,0.007,2,1,4,0
55.32,GBP,IN,GB,1,5,0.1306,0.002,1,0,0,0
72.47,GBP,IN,BR,1,13,0.0655,0.0043,1,0,1,0
29.22,EUR,FR,GB,1,11,0.0483,0.0284,1,1,2,0
58.97,GBP,NG,CN,1,6,0.0626,0.0041,3,1,2,0
100.28,AUD,AU,DE,1,10,0.1117,0.0002,1,2,4,0
388.17,AUD,US,FR,1,3,0.1267,0.0236,2,0,5,0
48.12,GBP,BR,GB,1,16,0.189,0.0421,1,0,1,0
52.39,AUD,AU,CA,1,21,0.0502,0.0396,2,2,2,0
251.5,AUD,IN,CN,1,8,0.0302,0.0061,2,0,0,0
31.53,CAD,AU,CA,1,9,0.0694,0.0064,2,1,2,0
14.52,GBP,AU,AU,0,9,0.082,0.0285,1,1,0,0
70.12,USD,US,CN,1,8,0.0258,0.0136,1,1,1,0
160.16,GBP,AU,IN,1,6,0.0487,0.01,3,2,2,0
78.34,EUR,BR,US,1,12,0.1267,0.0146,2,1,1,0
49.55,USD,DE,DE,0,11,0.2178,0.0246,1,0,3,0
12.83,AUD,IN,DE,1,4,0.0709,0.0301,1,1,0,0
51.5,EUR,US,CA,1,6,0.0777,0.0045,2,3,2,0
187.38,CAD,DE,CA,1,14,0.1421,0.0366,1,1,0,0
15.89,AUD,FR,AU,1,11,0.0311,0.0334,4,0,2,1
42.75,GBP,CN,DE,1,9,0.1839,0.0854,1,0,1,0
37.06,CAD,CA,CA,0,5,0.0211,0.0183,4,3,3,0
27.17,CAD,CA,FR,1,11,0.0286,0.0273,3,1,1,0
69.96,GBP,FR,DE,1,13,0.1076,0.0299,2,1,1,0
85.06,AUD,CN,CA,1,6,0.026,0.0571,4,1,2,0
84.17,AUD,NG,FR,1,4,0.0307,0.0066,3,1,1,0
20.56,EUR,US,CN,1,9,0.1638,0.0069,3,1,1,0
10.53,AUD,CA,AU,1,7,0.167,0.0084,3,3,2,0
70.98,USD,NG,AU,1,11,0.028,0.0434,0,2,2,0
32.92,USD,US,CN,1,6,0.1339,0.0833,6,1,0,0
343.2,GBP,NG,IN,1,8,0.0401,0.0192,3,5,3,0
359.43,CAD,CA,CA,0,8,0.2116,0.0259,3,2,2,0
399.69,GBP,CN,DE,1,11,0.0134,0.0199,1,3,3,0
21.33,CAD,CA,FR,1,9,0.018,0.007,2,1,2,0
96.48,EUR,FR,FR,0,13,0.1015,0.0077,2,2,3,0
130.45,AUD,IN,GB,1,6,0.0512,0.0075,2,1,2,0
116.55,AUD,GB,GB,0,11,0.1996,0.0032,1,2,6,0
38.31,USD,AU,DE,1,12,0.0503,0.0199,0,0,2,0
196.21,GBP,AU,CN,1,7,0.0195,0.0166,1,0,5,0
54.62,EUR,BR,BR,0,12,0.0856,0.0456,1,2,3,0
62.06,CAD,CN,NG,1,7,0.2016,0.0019,1,3,0,0
11.73,GBP,IN,GB,1,13,0.0681,0.0419,1,1,4,0
104.04,EUR,FR,FR,0,2,0.1477,0.0137,2,0,1,0
42.08,EUR,FR,AU,1,6,0.0101,0.0119,3,0,2,0
86.9,EUR,FR,FR,0,9,0.0929,0.0069,3,1,1,0
69.07,USD,NG,FR,1,12,0.0375,0.0022,1,1,0,0
65.43,USD,DE,DE,0,6,0.0602,0.0251,1,0,0,0
52.16,CAD,GB,US,1,7,0.0987,0.015,4,1,3,0
119.89,AUD,DE,NG,1,8,0.0529,0.0001,1,0,1,0
44.75,GBP,US,CN,1,5,0.1582,0.0519,6,1,4,0
12.74,AUD,GB,US,1,6,0.2905,0.0092,1,0,2,0
96.44,USD,US,FR,1,3,0.2631,0.0482,2,0,2,0
24.31,AUD,BR,AU,1,6,0.082,0.0033,1,2,2,0
14.52,GBP,BR,BR,0,11,0.0704,0.0007,0,2,2,0
19.64,CAD,IN,CN,1,3,0.1467,0.0108,2,0,2,0
72.48,USD,FR,FR,0,9,0.0907,0.0083,1,1,2,0
49.57,CAD,BR,BR,0,7,0.0225,0.0153,1,2,2,0
6.47,EUR,GB,CN,1,13,0.0439,0.0002,2,1,2,0
37.2,AUD,CN,NG,1,10,0.1265,0.0406,3,0,2,0
175.78,CAD,AU,CA,1,10,0.0049,0.0084,3,0,1,0
34.77,AUD,CN,NG,1,6,0.123,0.0734,2,0,1,0
46.27,AUD,GB,FR,1,6,0.0723,0.0245,2,0,1,0
154.93,CAD,FR,US,1,12,0.0548,0.0039,4,1,1,0
120.96,EUR,IN,BR,1,9,0.1997,0.0143,2,2,1,0
151.68,EUR,FR,NG,1,11,0.0933,0.0185,4,1,1,0
3.41,AUD,FR,DE,1,8,0.1077,0.0214,2,0,2,0
309.06,CAD,GB,FR,1,10,0.1533,0.0026,4,1,1,0
103.17,AUD,DE,DE,0,8,0.0441,0.0283,3,0,1,0
640.01,CAD,CA,GB,1,11,0.1728,0.0191,2,3,2,0
24.97,CAD,DE,CN,1,5,0.1867,0.0387,4,2,2,0
9.36,USD,IN,US,1,11,0.0915,0.0276,1,0,0,0
54.99,AUD,IN,AU,1,6,0.1446,0.0206,3,1,1,0
41.46,EUR,IN,US,1,9,0.0125,0.0051,3,3,0,0
104.97,EUR,DE,IN,1,19,0.1104,0.0392,2,0,0,0
159.96,USD,CN,CN,0,10,0.0445,0.0068,2,1,3,0
50.03,USD,US,IN,1,9,0.0922,0.022,3,3,0,0
42.92,EUR,DE,IN,1,12,0.0259,0.037,5,1,2,0
92.09,AUD,GB,NG,1,12,0.0168,0.0144,2,1,2,0
42.25,AUD,DE,CN,1,5,0.0123,0.0009,3,1,0,0
38.86,GBP,CN,NG,1,12,0.0462,0.0041,1,0,2,0
154.03,EUR,DE,CA,1,11,0.0785,0.0103,3,0,3,0
192.44,EUR,CN,AU,1,11,0.1113,0.0096,5,0,2,0
161.41,AUD,FR,NG,1,10,0.0958,0.002,3,1,2,0
46.14,USD,IN,CA,1,4,0.0853,0.0033,3,1,1,0
6.43,USD,FR,IN,1,15,0.0595,0.0295,3,1,1,1
47.08,USD,CA,US,1,4,0.1856,0.028,1,1,0,0
25.59,AUD,BR,NG,1,8,0.0292,0.0372,0,0,0,0
47.96,USD,CN,IN,1,4,0.069,0.0707,4,2,2,0
27.91,AUD,CA,BR,1,4,0.1404,0.0301,2,0,3,0
53.48,USD,BR,NG,1,11,0.0428,0.0111,3,2,1,0
19.31,GBP,CA,CA,0,11,0.1557,0.0067,3,1,1,0
15.17,AUD,BR,FR,1,9,0.0598,0.0032,1,1,0,0
185.43,USD,BR,NG,1,8,0.2294,0.0082,6,1,4,0
20.7,EUR,FR,GB,1,4,0.2413,0.0074,1,0,0,0
54.62,CAD,BR,NG,1,7,0.0226,0.0167,4,0,3,0
141.81,AUD,CA,CA,0,7,0.0447,0.0199,1,3,0,0
136.22,AUD,US,AU,1,8,0.0168,0.0145,0,0,2,1
120.89,USD,US,AU,1,11,0.1341,0.0676,1,3,2,0
73.91,CAD,FR,IN,1,4,0.0332,0.0296,1,1,0,0
112.62,EUR,CN,NG,1,6,0.0065,0.0099,4,0,2,0
215.53,GBP,GB,DE,1,8,0.0782,0.0371,0,2,4,0
83.51,AUD,FR,GB,1,7,0.1034,0.0024,4,1,3,0
8.7,AUD,BR,FR,1,8,0.0197,0.0207,2,0,2,0
32.18,USD,CA,IN,1,4,0.1258,0.0339,1,3,1,0
109.55,GBP,BR,BR,0,9,0.112,0.0035,2,0,3,0
29.16,EUR,DE,BR,1,15,0.0639,0.0081,0,0,1,1
275.92,CAD,NG,DE,1,15,0.1957,0.0051,0,1,1,0
51.26,AUD,AU,CN,1,8,0.0117,0.0183,3,0,2,0
59.46,EUR,AU,US,1,11,0.0613,0.0156,5,0,3,0
168.13,USD,GB,GB,0,12,0.0085,0.0315,3,0,0,0
45.47,USD,FR,US,1,8,0.0935,0.0104,6,0,1,0
65.12,USD,NG,CN,1,8,0.239,0.0502,4,0,1,0
134.17,EUR,US,GB,1,6,0.0386,0.0136,4,1,1,0
12.53,AUD,BR,IN,1,8,0.1087,0.0956,2,2,1,0
41.05,EUR,FR,NG,1,7,0.039,0.0134,5,0,1,0
125.1,GBP,BR,BR,0,11,0.1084,0.0137,4,2,2,0
58.3,CAD,IN,CN,1,8,0.0249,0.0011,2,2,0,0
236.83,CAD,FR,US,1,12,0.1918,0.0582,3,1,2,0
11.29,EUR,DE,FR,1,5,0.1017,0.025,4,2,1,0
10.07,USD,IN,AU,1,5,0.0479,0.0194,3,1,1,0
117.88,USD,GB,IN,1,8,0.0595,0.0002,0,2,2,0
129.78,EUR,AU,IN,1,9,0.0635,0.0047,2,1,0,0
45.0,USD,US,AU,1,8,0.0806,0.0133,4,0,1,0
81.48,GBP,IN,DE,1,13,0.0792,0.0141,2,0,5,0
115.03,CAD,IN,GB,1,10,0.0509,0.0159,1,0,2,0
24.19,CAD,US,FR,1,4,0.0837,0.0085,3,1,0,0
26.93,AUD,BR,CA,1,7,0.0711,0.0291,1,1,1,0
66.0,EUR,FR,AU,1,8,0.081,0.0121,6,2,0,0
134.84,CAD,BR,BR,0,3,0.1195,0.0419,3,3,3,0
17.01,AUD,US,AU,1,8,0.1728,0.0076,1,0,3,0
44.79,USD,GB,AU,1,6,0.0951,0.0196,1,1,1,0
42.77,CAD,FR,US,1,9,0.1071,0.0258,3,2,0,0
82.93,USD,GB,IN,1,10,0.0607,0.01,2,0,0,0
54.13,GBP,DE,FR,1,13,0.1249,0.0569,4,1,1,0
31.63,AUD,IN,GB,1,4,0.0936,0.0184,2,1,0,0
190.29,GBP,GB,CA,1,4,0.0817,0.0212,3,1,2,0
31.84,GBP,IN,BR,1,4,0.1757,0.0471,4,0,2,0
40.77,CAD,GB,CN,1,9,0.1075,0.0039,3,2,2,0
11.12,GBP,GB,AU,1,8,0.0526,0.0524,2,1,4,0
26.75,CAD,AU,CN,1,17,0.0097,0.0037,0,0,0,0
91.48,AUD,BR,GB,1,13,0.0487,0.0152,1,1,0,0
75.23,USD,GB,CA,1,10,0.1257,0.0277,3,2,2,0
99.44,GBP,CA,CN,1,10,0.0307,0.0,1,0,1,0
94.73,AUD,CN,GB,1,11,0.0482,0.001,2,0,1,0
440.41,EUR,CN,IN,1,14,0.1018,0.0127,5,1,3,0
25.85,GBP,AU,CA,1,8,0.095,0.0169,1,0,4,0
10.81,CAD,FR,DE,1,11,0.0398,0.0028,1,2,0,0
19.1,AUD,DE,FR,1,8,0.0957,0.0133,1,0,3,0
27.01,EUR,IN,DE,1,7,0.0871,0.0237,3,1,1,0
20.61,AUD,AU,NG,1,11,0.0876,0.0121,2,0,0,0
59.96,CAD,CA,CN,1,2,0.0061,0.0042,0,1,2,0
191.07,USD,US,AU,1,7,0.0634,0.0019,1,0,0,0
254.59,AUD,GB,AU,1,7,0.0618,0.0007,2,1,0,0
90.41,EUR,CN,US,1,9,0.0378,0.0157,0,0,2,0
464.64,EUR,FR,CA,1,13,0.0566,0.046,2,0,0,0
38.23,GBP,FR,US,1,5,0.0878,0.019,0,1,0,0
10.67,GBP,FR,NG,1,10,0.0349,0.0064,3,2,3,0
156.52,GBP,BR,CA,1,13,0.0444,0.0996,5,1,1,0
8.68,USD,US,DE,1,12,0.0147,0.0222,2,0,0,0
25.66,AUD,US,NG,1,6,0.0562,0.0004,4,2,1,0
91.85,EUR,CA,BR,1,7,0.1589,0.0341,2,0,0,0
49.28,USD,FR,IN,1,11,0.0835,0.0118,0,1,1,0
45.11,GBP,IN,US,1,6,0.0541,0.0088,5,0,2,0
16.76,CAD,FR,AU,1,9,0.2762,0.0124,2,2,1,0
54.01,USD,FR,AU,1,9,0.0497,0.0085,1,1,1,0
148.96,AUD,CN,DE,1,9,0.1106,0.0136,2,1,3,0
55.7,CAD,GB,BR,1,7,0.0545,0.0036,1,2,3,0
23.8,AUD,AU,CN,1,7,0.0632,0.0712,1,0,1,0
15.68,CAD,AU,CA,1,6,0.1541,0.0229,2,1,0,0
24.3,USD,FR,DE,1,6,0.0427,0.0219,1,0,1,0
80.83,EUR,NG,DE,1,7,0.0488,0.0149,2,1,3,0
76.98,AUD,CA,NG,1,6,0.1069,0.0104,1,1,3,0
24.52,GBP,CN,US,1,4,0.123,0.0179,1,1,2,0
5.98,USD,DE,NG,1,7,0.1132,0.0053,3,1,3,0
83.1,USD,AU,BR,1,14,0.0993,0.0008,2,0,0,0
22.25,GBP,AU,FR,1,9,0.2463,0.0552,0,2,1,0
108.75,GBP,NG,AU,1,13,0.0816,0.0418,3,1,0,0
25.63,EUR,FR,NG,1,4,0.045,0.0122,4,1,0,0
20.33,USD,CA,BR,1,4,0.0112,0.0143,1,1,2,0
63.64,CAD,US,CA,1,7,0.103,0.0351,1,1,2,0
576.92,GBP,DE,US,1,9,0.0576,0.0166,0,2,2,0
115.47,USD,NG,IN,1,6,0.0581,0.039,1,0,2,0
62.57,USD,US,GB,1,7,0.041,0.011,1,1,2,0
78.17,EUR,NG,US,1,11,0.0851,0.0029,1,2,1,0
9.48,GBP,AU,CN,1,8,0.044,0.0133,2,1,2,0
17.77,EUR,GB,FR,1,12,0.201,0.0595,0,0,3,0
4.43,USD,DE,IN,1,10,0.0961,0.0309,2,0,1,0
307.93,AUD,AU,CA,1,6,0.1262,0.0622,0,2,3,0
251.49,CAD,DE,GB,1,4,0.0368,0.0214,0,0,2,0
80.87,GBP,GB,US,1,7,0.1357,0.0282,0,2,2,0
62.5,EUR,IN,DE,1,11,0.052,0.0148,5,1,3,1
11.57,CAD,IN,US,1,6,0.1277,0.0124,2,0,2,0
43.85,AUD,GB,FR,1,9,0.0611,0.0014,1,2,2,0
327.8,CAD,CA,DE,1,7,0.0902,0.1076,1,1,1,0
62.27,EUR,CA,AU,1,7,0.0766,0.0072,1,0,1,0
31.04,EUR,IN,AU,1,5,0.1406,0.0349,0,0,0,0
9.41,AUD,BR,DE,1,9,0.1365,0.0458,3,1,0,0
217.09,USD,BR,FR,1,10,0.0928,0.0012,1,0,3,0
50.9,EUR,CN,US,1,7,0.0559,0.0587,1,1,0,0
9.42,USD,BR,DE,1,9,0.1725,0.0136,2,1,2,0
21.67,CAD,DE,CN,1,9,0.0906,0.0122,2,1,1,0
15.22,GBP,GB,CN,1,10,0.0875,0.0002,1,0,1,0
47.86,USD,IN,FR,1,10,0.0634,0.0136,2,1,0,0
67.18,AUD,CN,CN,0,6,0.0824,0.0034,2,0,2,0
33.01,GBP,CN,AU,1,8,0.023,0.004,2,2,1,0
118.75,EUR,CA,GB,1,4,0.1418,0.0137,3,0,2,0
59.07,AUD,CA,NG,1,13,0.1439,0.0071,1,1,2,0
157.96,CAD,US,FR,1,8,0.0574,0.0038,1,0,0,0
38.2,USD,GB,IN,1,6,0.0638,0.0332,2,0,1,0
1147.48,AUD,AU,IN,1,5,0.0617,0.0098,3,2,2,0
31.05,USD,AU,DE,1,6,0.1422,0.0422,0,2,0,0
22.12,AUD,DE,BR,1,8,0.095,0.0155,1,2,0,0
19.56,EUR,DE,AU,1,9,0.0749,0.0252,1,1,2,0
44.21,EUR,NG,DE,1,8,0.212,0.0026,6,2,1,0
9.78,USD,FR,CA,1,7,0.1325,0.0424,3,2,2,0
73.3,AUD,NG,BR,1,8,0.0964,0.0239,3,0,2,0
8.12,GBP,CN,CA,1,0,0.0568,0.0012,2,2,1,0
64.18,CAD,DE,GB,1,6,0.114,0.0072,1,2,1,0
14.14,AUD,CA,NG,1,13,0.1559,0.0078,4,0,3,0
37.29,GBP,CN,DE,1,9,0.0382,0.0234,1,0,2,0
99.94,EUR,IN,IN,0,11,0.0439,0.0094,2,0,1,0
546.78,CAD,CA,BR,1,12,0.0788,0.0043,1,1,3,0
18.58,GBP,IN,NG,1,8,0.1439,0.0407,3,1,2,0
46.98,EUR,AU,IN,1,8,0.0942,0.0011,1,1,2,1
26.48,AUD,CN,BR,1,10,0.0078,0.0038,3,2,0,0
22.88,AUD,CA,NG,1,6,0.018,0.0351,4,1,1,0
26.71,EUR,CN,CN,0,5,0.1787,0.035,3,1,1,0
124.47,CAD,CN,US,1,7,0.0982,0.0067,4,1,2,0
33.51,AUD,GB,BR,1,7,0.0311,0.0189,1,2,1,0
517.66,CAD,GB,GB,0,9,0.2301,0.0034,4,1,6,0
82.76,USD,AU,NG,1,10,0.1297,0.0589,1,0,2,0
19.89,AUD,US,US,0,6,0.0704,0.0123,1,1,3,0
37.84,USD,CA,CA,0,7,0.1049,0.0013,1,0,2,0
24.49,CAD,FR,GB,1,9,0.0293,0.0239,2,2,2,0
121.52,GBP,CN,IN,1,7,0.0193,0.0066,1,1,1,0
10.6,USD,CN,US,1,7,0.1996,0.0183,0,2,1,0
14.28,CAD,GB,US,1,8,0.0944,0.0034,1,1,2,0
30.22,EUR,NG,AU,1,12,0.0928,0.0284,0,1,4,0
108.09,AUD,US,CN,1,10,0.1795,0.029,4,0,0,0
187.37,AUD,BR,AU,1,6,0.1045,0.1456,2,2,2,0
217.14,GBP,NG,FR,1,12,0.1952,0.0088,3,2,2,0
92.74,CAD,NG,IN,1,12,0.0286,0.0053,0,1,1,0
50.26,USD,CA,AU,1,5,0.0601,0.0234,2,1,0,0
120.86,AUD,NG,DE,1,11,0.0719,0.0414,0,0,1,0
17.38,CAD,GB,AU,1,6,0.1132,0.0146,4,1,1,0
8.63,EUR,AU,US,1,8,0.0456,0.0138,5,0,2,0
84.49,USD,FR,CA,1,8,0.0561,0.0094,2,3,3,0
19.97,GBP,DE,IN,1,10,0.1548,0.0792,2,0,4,0
51.15,AUD,US,DE,1,2,0.0183,0.0061,4,0,2,0
61.54,AUD,BR,US,1,13,0.0732,0.0014,2,0,2,0
69.97,USD,DE,GB,1,8,0.1716,0.0242,3,0,2,0
139.46,CAD,IN,NG,1,6,0.1066,0.0356,3,1,0,0
125.47,USD,FR,DE,1,6,0.1362,0.0046,2,4,0,0
66.35,EUR,DE,US,1,6,0.0352,0.0073,4,1,2,1
35.09,GBP,NG,BR,1,9,0.0347,0.0399,3,2,1,0
60.81,USD,US,AU,1,8,0.1135,0.0061,4,2,0,0
30.08,USD,BR,FR,1,7,0.1218,0.0123,2,1,0,0
44.86,AUD,BR,NG,1,6,0.014,0.0152,2,1,1,0
748.58,CAD,DE,DE,0,7,0.1432,0.0041,2,1,2,0
65.51,CAD,CA,AU,1,5,0.0462,0.0105,1,1,2,0
85.65,GBP,US,BR,1,9,0.0448,0.007,1,2,0,0
26.96,GBP,CN,IN,1,8,0.1216,0.0009,2,1,0,0
151.42,USD,CN,CA,1,10,0.0376,0.0038,3,1,4,0
116.78,GBP,CA,IN,1,5,0.0719,0.0208,1,1,0,0
117.61,CAD,US,BR,1,5,0.0795,0.0506,3,0,0,0
67.69,EUR,GB,GB,0,11,0.0493,0.0223,4,1,1,0
153.58,GBP,US,GB,1,4,0.1292,0.0012,0,1,0,0
194.74,GBP,NG,IN,1,5,0.1025,0.0196,1,0,1,0
72.46,AUD,NG,GB,1,15,0.1044,0.0067,1,0,3,0
48.69,USD,GB,NG,1,6,0.1013,0.0269,2,1,3,0
