order_amount,currency,billing_country,shipping_country,country_mismatch,customer_total_orders,customer_refund_rate,customer_dispute_rate,device_reuse_count,ip_reuse_count,order_velocity_24h,is_returned
177.51,GBP,AU,NG,1,4,0.0643,0.0191,0,2,3,0
37.4,EUR,GB,CA,1,4,0.1531,0.0248,0,1,2,0
35.38,EUR,CA,GB,1,7,0.1814,0.0298,1,1,1,0
38.89,CAD,BR,AU,1,7,0.0613,0.0251,3,1,1,0
23.93,AUD,FR,US,1,10,0.1208,0.0409,1,1,2,0
106.39,GBP,FR,CA,1,7,0.0627,0.0171,3,0,1,0
120.17,EUR,DE,FR,1,7,0.0434,0.0122,2,2,2,0
102.97,CAD,IN,NG,1,11,0.0542,0.014,4,0,3,0
37.89,CAD,DE,US,1,5,0.057,0.0294,3,2,2,0
35.82,USD,AU,AU,0,8,0.0645,0.0216,1,3,4,0
25.74,GBP,CN,IN,1,9,0.1062,0.0373,1,2,2,1
118.61,CAD,GB,AU,1,11,0.1454,0.0199,4,0,0,0
53.06,CAD,AU,FR,1,11,0.0337,0.0049,5,1,1,0
49.31,AUD,BR,CA,1,5,0.0442,0.0253,3,0,0,0
4.77,AUD,BR,FR,1,9,0.0072,0.053,2,1,1,0
39.38,GBP,IN,CN,1,3,0.0331,0.0441,4,1,2,0
45.2,EUR,NG,BR,1,12,0.0459,0.0337,1,0,2,0
74.41,EUR,AU,CN,1,7,0.117,0.0169,0,2,1,0
14.51,EUR,BR,DE,1,11,0.0369,0.0134,2,0,0,0
58.81,AUD,IN,US,1,8,0.0975,0.0171,2,0,1,0
24.26,EUR,AU,CA,1,6,0.1494,0.013,0,1,1,0
34.83,EUR,DE,GB,1,7,0.1001,0.0034,5,1,2,0
159.64,USD,IN,CN,1,8,0.0974,0.0104,1,1,0,0
50.53,EUR,CA,BR,1,9,0.0914,0.0114,3,0,2,0
96.05,GBP,FR,IN,1,11,0.1472,0.0271,0,2,0,0
58.37,USD,IN,CN,1,6,0.0406,0.0036,4,0,3,1
50.55,AUD,GB,FR,1,6,0.032,0.0047,7,0,1,0
292.37,EUR,CA,DE,1,7,0.0504,0.0305,2,1,0,0
33.14,CAD,FR,US,1,7,0.1089,0.0221,2,2,5,0
28.09,USD,FR,GB,1,7,0.1298,0.0094,3,2,2,0
14.78,EUR,AU,AU,0,11,0.1066,0.0017,3,3,4,0
114.02,CAD,CA,GB,1,9,0.067,0.0059,1,0,0,0
26.57,USD,FR,DE,1,4,0.0494,0.0016,3,3,2,0
79.73,EUR,AU,CA,1,6,0.1097,0.005,2,1,1,0
9.4,EUR,DE,AU,1,6,0.1479,0.0041,1,2,3,0
27.88,EUR,CA,AU,1,7,0.017,0.0078,2,0,1,0
57.42,USD,NG,FR,1,9,0.0053,0.025,3,1,1,0
154.82,GBP,NG,IN,1,7,0.0398,0.0019,2,1,2,0
181.06,USD,AU,CN,1,9,0.3045,0.0297,3,0,2,0
3.19,EUR,AU,CA,1,9,0.04,0.034,2,1,2,0
402.08,CAD,DE,AU,1,2,0.2199,0.044,2,1,1,0
80.02,EUR,CN,CN,0,11,0.1545,0.0527,1,0,3,0
35.79,CAD,NG,FR,1,5,0.0124,0.008,2,1,2,0
23.76,EUR,GB,CA,1,8,0.0775,0.0054,4,0,2,0
11.33,AUD,AU,DE,1,11,0.0532,0.0232,5,1,3,0
24.53,AUD,IN,IN,0,7,0.1237,0.0128,2,1,3,0
18.19,CAD,FR,US,1,7,0.0331,0.0042,3,0,0,0
288.47,EUR,FR,CA,1,7,0.2287,0.0005,3,1,1,0
726.95,AUD,NG,BR,1,8,0.1391,0.0067,4,0,1,0
6.86,GBP,CA,BR,1,9,0.0178,0.0085,2,3,1,0
58.49,GBP,AU,IN,1,5,0.2926,0.0334,1,0,0,0
23.15,USD,US,GB,1,4,0.0866,0.0211,3,2,2,0
48.42,AUD,CN,CA,1,7,0.1052,0.0259,1,1,2,0
24.14,CAD,CN,IN,1,10,0.0928,0.0329,4,1,1,0
24.55,EUR,NG,CA,1,11,0.0552,0.0035,3,1,1,0
160.14,AUD,US,CA,1,6,0.1233,0.0284,3,1,0,0
249.6,USD,NG,CA,1,8,0.0712,0.0423,5,0,2,1
293.36,AUD,CN,CN,0,6,0.1902,0.0009,2,3,0,0
97.07,USD,AU,US,1,6,0.0709,0.0536,2,0,4,1
101.4,AUD,AU,DE,1,7,0.1331,0.0163,4,2,1,0
39.82,GBP,DE,NG,1,10,0.1198,0.004,2,0,3,0
21.81,AUD,US,CA,1,8,0.0892,0.0349,3,0,1,0
49.02,CAD,IN,FR,1,15,0.1007,0.0298,0,1,1,0
47.18,GBP,BR,IN,1,7,0.0511,0.0035,3,0,1,0
53.25,CAD,CA,CA,0,6,0.1649,0.0535,1,0,2,1
21.63,CAD,BR,BR,0,7,0.0713,0.0657,3,0,1,0
52.8,GBP,AU,CA,1,7,0.0696,0.0084,0,1,1,0
14.35,GBP,BR,NG,1,6,0.0722,0.0043,1,1,1,0
46.4,USD,CN,IN,1,8,0.0266,0.0864,0,0,1,0
64.59,EUR,CA,CN,1,12,0.2102,0.0023,1,1,1,0
79.42,AUD,BR,GB,1,4,0.1143,0.0151,1,0,0,0
8.0,GBP,DE,BR,1,5,0.0622,0.0267,3,1,0,0
115.57,CAD,BR,CN,1,5,0.0717,0.0839,1,0,2,0
46.9,USD,CN,DE,1,10,0.1103,0.0222,4,0,1,0
4.56,USD,DE,DE,0,2,0.0149,0.0014,2,0,4,0
146.43,USD,CN,NG,1,5,0.1799,0.0234,2,2,1,1
58.0,EUR,AU,FR,1,8,0.069,0.1229,2,1,1,0
97.05,USD,CN,CN,0,8,0.0027,0.0101,3,3,4,0
45.78,EUR,US,CN,1,13,0.0866,0.0205,0,2,1,0
95.5,AUD,CN,CA,1,10,0.0783,0.0028,3,1,1,0
145.47,GBP,US,BR,1,4,0.0136,0.008,2,1,2,0
46.33,USD,US,GB,1,7,0.1143,0.0197,0,0,0,0
62.61,CAD,AU,GB,1,6,0.1686,0.0216,3,0,1,0
163.17,AUD,CA,NG,1,6,0.0609,0.0189,3,0,2,0
31.07,GBP,AU,GB,1,11,0.0304,0.0266,0,0,2,0
52.68,EUR,CN,FR,1,7,0.0735,0.0451,5,2,1,0
25.63,EUR,FR,BR,1,11,0.0845,0.0185,2,1,2,0
132.34,AUD,DE,CA,1,5,0.0444,0.0543,1,1,0,0
5.77,EUR,CA,CA,0,9,0.0575,0.0101,4,2,2,0
68.57,USD,GB,DE,1,8,0.1206,0.009,3,1,7,1
68.32,EUR,GB,FR,1,8,0.0558,0.0328,1,1,1,0
34.79,GBP,GB,CA,1,11,0.1272,0.0011,4,1,2,0
63.93,AUD,CN,BR,1,5,0.1804,0.0711,3,1,0,0
234.45,CAD,CA,FR,1,5,0.0779,0.0165,2,0,2,0
117.37,USD,AU,DE,1,8,0.0894,0.0141,3,2,1,0
17.46,GBP,US,FR,1,10,0.2117,0.0067,1,1,2,0
18.42,USD,DE,CA,1,10,0.0536,0.0002,0,1,0,0
83.18,CAD,BR,BR,0,6,0.1487,0.0045,1,3,2,0
19.53,USD,CA,DE,1,9,0.0449,0.0099,2,1,2,0
221.88,GBP,GB,CN,1,7,0.1469,0.0584,1,1,1,0
364.73,GBP,CA,CA,0,13,0.1058,0.025,1,0,3,0
13.03,CAD,AU,CN,1,8,0.1277,0.0063,1,3,2,1
58.44,AUD,DE,FR,1,8,0.0778,0.0006,0,1,2,0
16.46,AUD,US,NG,1,11,0.0658,0.001,2,1,1,0
61.86,GBP,CA,AU,1,10,0.0661,0.0015,0,1,1,0
67.85,EUR,DE,BR,1,11,0.0459,0.0233,1,1,0,0
112.07,EUR,FR,CN,1,8,0.0598,0.0581,2,2,0,0
295.55,GBP,GB,IN,1,5,0.0619,0.016,2,0,1,0
81.82,AUD,US,DE,1,9,0.0903,0.0601,0,3,2,0
18.1,USD,NG,CA,1,11,0.0435,0.0032,1,1,1,0
34.87,CAD,CN,FR,1,10,0.0688,0.0233,4,0,0,0
47.73,GBP,DE,CN,1,5,0.0867,0.0056,2,3,1,0
33.18,USD,CN,BR,1,6,0.0705,0.0187,4,1,0,0
28.31,AUD,IN,GB,1,7,0.206,0.0231,1,0,1,0
13.08,CAD,BR,DE,1,13,0.1353,0.0049,3,2,2,0
238.14,USD,GB,CA,1,9,0.1094,0.0161,0,2,1,0
33.56,EUR,CN,DE,1,8,0.1041,0.0257,3,1,4,1
45.35,GBP,BR,CA,1,6,0.0917,0.0818,1,2,1,0
255.05,CAD,BR,GB,1,8,0.0614,0.0754,0,1,1,0
31.92,GBP,CN,CA,1,5,0.0483,0.005,2,0,3,0
31.83,EUR,NG,FR,1,5,0.0049,0.0246,1,0,2,0
148.72,AUD,FR,FR,0,9,0.0344,0.0042,2,1,0,0
37.74,CAD,CN,CA,1,8,0.1191,0.0634,2,1,1,0
28.31,AUD,NG,US,1,8,0.0975,0.0047,2,1,0,0
613.19,GBP,US,US,0,2,0.0247,0.0155,3,1,1,0
23.33,EUR,DE,FR,1,11,0.0706,0.0252,3,1,0,0
58.8,CAD,BR,GB,1,16,0.0954,0.0202,3,1,2,0
15.61,GBP,NG,GB,1,5,0.0371,0.0588,0,2,1,0
200.63,GBP,IN,CA,1,10,0.2042,0.0358,1,1,0,0
53.77,CAD,BR,BR,0,12,0.1181,0.0171,1,1,0,0
66.13,AUD,US,BR,1,8,0.1985,0.0049,1,1,2,0
35.8,GBP,BR,DE,1,8,0.0284,0.0012,3,0,1,0
7.93,GBP,US,IN,1,3,0.1019,0.0117,1,0,0,0
31.81,USD,BR,US,1,7,0.0587,0.0277,0,1,1,0
85.09,USD,NG,BR,1,12,0.0589,0.026,5,4,2,0
35.55,EUR,CA,CA,0,3,0.0535,0.0019,1,2,3,0
18.74,EUR,BR,NG,1,5,0.1522,0.0282,8,0,1,0
380.5,CAD,NG,CN,1,7,0.0824,0.0018,1,0,1,0
250.27,EUR,BR,GB,1,11,0.0614,0.0546,4,2,0,0
55.77,GBP,IN,BR,1,4,0.11,0.0004,3,1,2,1
38.94,EUR,NG,NG,0,10,0.0479,0.0126,2,2,1,0
39.23,GBP,IN,NG,1,7,0.0097,0.0029,3,3,1,0
21.93,EUR,US,US,0,8,0.0176,0.0035,3,1,1,0
147.19,GBP,FR,IN,1,10,0.1289,0.0281,2,1,4,0
61.07,USD,US,IN,1,6,0.0639,0.0601,0,1,0,0
15.13,EUR,CN,DE,1,9,0.0328,0.0035,2,0,2,0
71.96,AUD,CN,NG,1,12,0.0576,0.0215,1,0,1,1
107.01,USD,FR,DE,1,12,0.0673,0.0001,1,2,3,0
12.09,USD,FR,GB,1,11,0.1182,0.0002,2,0,1,0
105.1,CAD,CN,IN,1,6,0.0458,0.0271,1,1,1,0
57.18,AUD,AU,NG,1,14,0.0185,0.0017,2,1,2,0
160.84,CAD,BR,CA,1,11,0.0395,0.0115,3,1,0,0
33.39,EUR,IN,DE,1,10,0.07,0.0496,2,1,1,0
87.21,CAD,US,GB,1,4,0.1623,0.0083,0,0,2,0
109.56,EUR,CN,NG,1,7,0.04,0.0251,6,0,2,0
67.93,USD,NG,CN,1,7,0.035,0.0451,0,4,0,0
57.92,GBP,FR,DE,1,7,0.2822,0.0202,1,0,0,0
182.99,CAD,NG,FR,1,12,0.0637,0.0028,0,3,1,0
17.35,EUR,IN,NG,1,6,0.043,0.1117,3,1,3,0
601.1,AUD,US,CA,1,11,0.1788,0.0397,0,0,0,1
116.17,USD,NG,CA,1,8,0.0932,0.0399,5,3,2,0
45.99,CAD,CA,US,1,5,0.0483,0.0095,4,4,3,0
99.05,CAD,IN,CA,1,14,0.0766,0.0065,2,1,1,0
287.14,USD,CN,IN,1,7,0.0325,0.0113,0,1,2,1
14.89,EUR,NG,CN,1,7,0.1329,0.0075,1,1,5,0
11.67,GBP,AU,GB,1,11,0.1057,0.003,2,0,2,0
48.88,AUD,NG,BR,1,6,0.1341,0.0335,4,1,1,0
44.13,GBP,CA,GB,1,10,0.0636,0.0608,4,0,0,0
22.43,CAD,BR,IN,1,7,0.1433,0.0067,4,1,1,0
108.1,USD,IN,IN,0,8,0.0124,0.0221,1,0,2,0
17.61,CAD,CA,CN,1,5,0.0457,0.0238,6,0,1,0
11.29,USD,IN,BR,1,6,0.0381,0.0027,0,0,2,0
86.53,CAD,CN,BR,1,10,0.0965,0.069,2,1,2,0
54.51,EUR,GB,IN,1,10,0.0459,0.0419,5,0,4,0
170.93,EUR,FR,DE,1,10,0.1865,0.0048,5,1,3,0
128.34,EUR,US,FR,1,6,0.0292,0.0061,3,2,2,0
48.59,USD,AU,AU,0,3,0.1017,0.0038,3,2,1,0
40.68,USD,CA,FR,1,7,0.0542,0.0261,4,0,1,0
7.53,AUD,BR,DE,1,10,0.1489,0.0017,1,1,1,0
54.49,EUR,BR,CN,1,8,0.1243,0.0003,1,0,6,0
411.59,AUD,BR,BR,0,12,0.2722,0.0087,2,0,0,1
76.86,USD,IN,FR,1,9,0.0538,0.049,0,1,4,0
177.78,USD,CN,CA,1,12,0.2596,0.0022,1,0,1,0
92.29,CAD,NG,CN,1,11,0.0957,0.0079,2,0,3,1
18.0,USD,IN,DE,1,3,0.133,0.0182,1,0,1,0
46.19,GBP,NG,AU,1,6,0.0847,0.001,3,0,1,0
159.53,CAD,CA,GB,1,9,0.0511,0.0273,2,1,1,0
182.75,EUR,US,DE,1,5,0.0594,0.0577,3,2,1,0
98.22,CAD,DE,CA,1,6,0.0489,0.0034,3,1,1,0
160.13,AUD,GB,CN,1,6,0.134,0.0054,2,1,0,0
117.48,AUD,FR,AU,1,7,0.0512,0.0503,0,2,1,0
15.52,GBP,CN,CN,0,10,0.1067,0.0083,1,0,2,0
188.51,EUR,NG,GB,1,10,0.055,0.018,0,1,0,0
53.34,EUR,GB,US,1,7,0.1969,0.0323,3,2,2,1
66.83,EUR,GB,AU,1,8,0.032,0.0068,0,3,2,0
27.3,CAD,CN,AU,1,7,0.1074,0.026,1,2,0,1
32.56,CAD,DE,FR,1,7,0.0555,0.0558,5,1,1,0
193.73,AUD,NG,BR,1,8,0.0947,0.0045,2,0,0,0
50.72,USD,CN,NG,1,6,0.0383,0.032,1,1,2,0
61.53,USD,IN,GB,1,6,0.1549,0.0316,2,2,4,0
49.32,GBP,US,AU,1,5,0.0549,0.0268,0,0,3,1
214.83,AUD,BR,IN,1,9,0.1087,0.0424,2,1,1,0
6.29,USD,NG,US,1,11,0.0615,0.0005,4,1,3,0
306.34,GBP,US,IN,1,10,0.0967,0.0052,1,3,4,0
202.44,AUD,BR,CN,1,8,0.0223,0.0022,5,0,3,0
140.83,CAD,AU,BR,1,12,0.1257,0.0175,4,0,1,0
48.22,CAD,FR,CN,1,7,0.048,0.0227,1,1,3,0
174.45,USD,NG,BR,1,7,0.0432,0.0267,1,0,0,0
80.61,AUD,GB,FR,1,10,0.029,0.0004,3,0,1,0
239.67,GBP,GB,CA,1,10,0.088,0.0052,2,1,3,0
88.01,USD,US,US,0,8,0.0274,0.029,5,1,5,0
71.84,GBP,CN,FR,1,2,0.1324,0.0394,3,3,2,0
25.27,GBP,IN,US,1,6,0.1311,0.0471,3,0,1,0
67.7,EUR,CN,BR,1,12,0.1199,0.0059,4,1,1,0
48.37,CAD,CA,AU,1,10,0.1426,0.003,1,0,0,0
69.33,GBP,AU,AU,0,8,0.1005,0.004,1,0,3,0
31.02,GBP,US,GB,1,8,0.0783,0.0144,1,0,2,1
45.03,GBP,IN,DE,1,8,0.0319,0.0099,3,0,2,0
43.65,GBP,IN,IN,0,7,0.2269,0.0104,3,0,0,0
18.0,CAD,GB,CN,1,11,0.2606,0.0444,3,1,1,0
47.68,EUR,CN,CN,0,11,0.0517,0.0031,0,2,2,0
80.73,USD,AU,US,1,6,0.1836,0.0196,1,0,0,0
154.07,USD,NG,AU,1,12,0.0345,0.0016,2,1,1,0
73.65,CAD,BR,NG,1,13,0.0518,0.0078,1,0,0,0
28.08,AUD,GB,FR,1,5,0.075,0.0071,5,0,0,0
10.24,AUD,AU,AU,0,8,0.1231,0.0079,1,0,0,0
124.2,AUD,NG,NG,0,11,0.0964,0.0072,1,0,2,0
67.59,USD,IN,BR,1,11,0.0299,0.0376,2,1,1,0
112.51,EUR,GB,US,1,8,0.0466,0.0147,5,0,2,0
173.2,USD,BR,CN,1,5,0.0464,0.0024,1,0,1,0
144.56,GBP,CN,AU,1,5,0.0139,0.0143,0,1,1,0
171.72,USD,BR,NG,1,4,0.0838,0.0063,4,2,2,0
103.87,AUD,US,IN,1,13,0.0145,0.0238,2,2,1,0
172.88,CAD,BR,FR,1,4,0.0606,0.0073,2,1,4,0
108.17,AUD,FR,IN,1,11,0.107,0.0481,0,2,0,0
314.6,GBP,US,US,0,8,0.0496,0.0316,0,1,1,0
20.71,GBP,US,CN,1,8,0.0232,0.0089,2,1,0,0
40.7,USD,CN,FR,1,4,0.1532,0.0124,1,0,1,1
58.53,USD,DE,BR,1,12,0.0485,0.0084,2,2,2,0
35.59,EUR,AU,BR,1,9,0.0594,0.0163,3,1,0,0
21.59,CAD,IN,NG,1,4,0.0887,0.0044,2,3,4,1
30.44,AUD,BR,CA,1,6,0.0403,0.0217,4,1,3,0
21.96,GBP,IN,BR,1,15,0.0491,0.0392,1,1,3,0
366.79,CAD,FR,CA,1,10,0.0133,0.0118,3,1,1,0
